"","ile","czestosc"
"isolate",28,0.0006159667
"opts",28,0.0006159667
"rect",28,0.0006159667
"split",28,0.0006159667
"Sys.getenv",28,0.0006159667
"tbl_df",28,0.0006159667
"basename",27,0.0005939679
"file.copy",27,0.0005939679
"fortify",27,0.0005939679
"observeEvent",27,0.0005939679
"scale_y_log10",27,0.0005939679
"tapply",27,0.0005939679
"attributes",26,0.0005719691
"colMeans",26,0.0005719691
"fileInput",26,0.0005719691
"getwd",26,0.0005719691
"grid.arrange",26,0.0005719691
"includeMarkdown",26,0.0005719691
"local",26,0.0005719691
"mtext",26,0.0005719691
"proj4string",26,0.0005719691
"qplot",26,0.0005719691
"set",26,0.0005719691
"style",26,0.0005719691
"substitute",26,0.0005719691
"tagList",26,0.0005719691
"xlim",26,0.0005719691
"content",25,0.0005499703
"coord_map",25,0.0005499703
"geom_segment",25,0.0005499703
"leaflet",25,0.0005499703
"model.matrix",25,0.0005499703
"renderPrint",25,0.0005499703
"scale",25,0.0005499703
"structure",25,0.0005499703
"which.max",25,0.0005499703
"arrows",24,0.0005279715
"bbox",24,0.0005279715
"brocolors",24,0.0005279715
"geom_tile",24,0.0005279715
"I",24,0.0005279715
"intersect",24,0.0005279715
"prop.table",24,0.0005279715
"spread",24,0.0005279715
"system.file",24,0.0005279715
"t.test",24,0.0005279715
"h1",23,0.0005059727
"map_df",23,0.0005059727
"match.arg",23,0.0005059727
"spTransform",23,0.0005059727
"SQLite",23,0.0005059727
"Sys.setenv",23,0.0005059727
"tibble",23,0.0005059727
"verbatimTextOutput",23,0.0005059727
"density",22,0.0004839739
"guide_legend",22,0.0004839739
"inner_join",22,0.0004839739
"month",22,0.0004839739
"new.env",22,0.0004839739
"prod",22,0.0004839739
"reactiveValues",22,0.0004839739
"scale_x_log10",22,0.0004839739
"scan",22,0.0004839739
"str_sub",22,0.0004839739
"toupper",22,0.0004839739
"dbDriver",21,0.0004619751
"eventReactive",21,0.0004619751
"expand_limits",21,0.0004619751
"gc",21,0.0004619751
"menuItem",21,0.0004619751
"radioButtons",21,0.0004619751
"script",21,0.0004619751
"tabsetPanel",21,0.0004619751
"toJSON",21,0.0004619751
"as",20,0.0004399762
"conditionalPanel",20,0.0004399762
"file.remove",20,0.0004399762
"get_map",20,0.0004399762
"ggmap",20,0.0004399762
"is.list",20,0.0004399762
"is.matrix",20,0.0004399762
"ldply",20,0.0004399762
"pData",20,0.0004399762
"read.delim",20,0.0004399762
"rpois",20,0.0004399762
"solve",20,0.0004399762
"SpatialPointsDataFrame",20,0.0004399762
"stat_smooth",20,0.0004399762
"strptime",20,0.0004399762
"substring",20,0.0004399762
"suppressMessages",20,0.0004399762
"suppressPackageStartupMessages",20,0.0004399762
"unnest",20,0.0004399762
"which.min",20,0.0004399762
"xtable",20,0.0004399762
"addTiles",19,0.0004179774
"all.equal",19,0.0004179774
"attach",19,0.0004179774
"binomial",19,0.0004179774
"environment",19,0.0004179774
"geom_path",19,0.0004179774
"helpText",19,0.0004179774
"pull",19,0.0004179774
"read_excel",19,0.0004179774
"read_html",19,0.0004179774
"sidebarMenu",19,0.0004179774
"append",18,0.0003959786
"arrangeGrob",18,0.0003959786
"as_data_frame",18,0.0003959786
"boxplot",18,0.0003959786
"coord_equal",18,0.0003959786
"countrycode",18,0.0003959786
"data.table",18,0.0003959786
"dbWriteTable",18,0.0003959786
"deparse",18,0.0003959786
"downloadButton",18,0.0003959786
"downloadHandler",18,0.0003959786
"droplevels",18,0.0003959786
"exprs",18,0.0003959786
"f",18,0.0003959786
"geom_rect",18,0.0003959786
"headerPanel",18,0.0003959786
"identical",18,0.0003959786
"import",18,0.0003959786
"integer",18,0.0003959786
"map_chr",18,0.0003959786
"map_data",18,0.0003959786
"missing",18,0.0003959786
"need",18,0.0003959786
"pmin",18,0.0003959786
"rbind.fill",18,0.0003959786
"replicate",18,0.0003959786
"segments",18,0.0003959786
"validate",18,0.0003959786
"View",18,0.0003959786
"colorRampPalette",17,0.0003739798
"coord_cartesian",17,0.0003739798
"dbSendQuery",17,0.0003739798
"file.info",17,0.0003739798
"is.finite",17,0.0003739798
"lag",17,0.0003739798
"leafletOutput",17,0.0003739798
"renderLeaflet",17,0.0003739798
"str_trim",17,0.0003739798
"tabItem",17,0.0003739798
"tabItems",17,0.0003739798
"write",17,0.0003739798
"ani.options",16,0.000351981
"as.formula",16,0.000351981
"coordinates",16,0.000351981
"cos",16,0.000351981
"geom_area",16,0.000351981
"grayplot",16,0.000351981
"hclust",16,0.000351981
"hour",16,0.000351981
"iArrows",16,0.000351981
"iconv",16,0.000351981
"is",16,0.000351981
"mapply",16,0.000351981
"normalizePath",16,0.000351981
"pageWithSidebar",16,0.000351981
"pairs",16,0.000351981
"position_jitter",16,0.000351981
"scale_color_viridis",16,0.000351981
"setTxtProgressBar",16,0.000351981
"str_extract",16,0.000351981
"str_pad",16,0.000351981
"theme_minimal",16,0.000351981
"theme_text",16,0.000351981
"train",16,0.000351981
"txtProgressBar",16,0.000351981
"vapply",16,0.000351981
"detectCores",15,0.0003299822
"geom_abline",15,0.0003299822
"gpar",15,0.0003299822
"html_nodes",15,0.0003299822
"lgamma",15,0.0003299822
"mclapply",15,0.0003299822
"prcomp",15,0.0003299822
"recode",15,0.0003299822
"sign",15,0.0003299822
".Call",14,0.0003079834
".libPaths",14,0.0003079834
